,acled_events,acled_fatalities,acled_fatalities_revised,hormuz_severity,rhetoric_index,tanker_rate_usd,log_return
acled_events,1.0,0.9396263852192539,0.9525031384874254,0.593545720672063,0.5273025076463912,0.13825513511698215,0.16298007986730223
acled_fatalities,0.9396263852192539,1.0,0.9885495051232386,0.6991441943217181,0.567243831950122,0.14460726427031326,0.1537426244911878
acled_fatalities_revised,0.9525031384874254,0.9885495051232386,1.0,0.6990862337719497,0.5629152046019447,0.13978599365140693,0.1626923149268744
hormuz_severity,0.593545720672063,0.6991441943217181,0.6990862337719497,1.0,0.5001371042686272,-0.014982392512620596,0.08062994366935061
rhetoric_index,0.5273025076463912,0.567243831950122,0.5629152046019447,0.5001371042686272,1.0,0.1060549198839086,0.0411248848284371
tanker_rate_usd,0.13825513511698215,0.14460726427031326,0.13978599365140693,-0.014982392512620596,0.1060549198839086,1.0,-0.02139387239863399
log_return,0.16298007986730223,0.1537426244911878,0.1626923149268744,0.08062994366935061,0.0411248848284371,-0.02139387239863399,1.0
